,Word,romeoandjuliet,greatgatsby,mobydick,querybook
622,whom,4.0,9.0,41.0,6.0
623,thither,4.0,0.0,10.0,3.0
624,match,4.0,2.0,8.0,1.0
625,lamb,4.0,0.0,1.0,0.0
626,awhile,4.0,0.0,6.0,10.0
627,bitter,4.0,1.0,8.0,3.0
628,brow,4.0,1.0,40.0,4.0
629,yea,4.0,0.0,14.0,4.0
630,left,4.0,40.0,65.0,3.0
631,grace,4.0,1.0,7.0,14.0
632,stands,4.0,1.0,29.0,4.0
633,wisdom,4.0,1.0,5.0,6.0
634,count,4.0,2.0,3.0,3.0
635,lover,4.0,0.0,1.0,1.0
636,fly,4.0,1.0,12.0,5.0
637,guests,4.0,8.0,4.0,0.0
638,after,4.0,88.0,259.0,14.0
639,believe,4.0,16.0,27.0,19.0
640,mask,4.0,0.0,3.0,0.0
641,save,4.0,3.0,15.0,5.0
642,empty,4.0,4.0,18.0,1.0
643,kisses,4.0,0.0,0.0,3.0
644,oft,4.0,0.0,2.0,12.0
645,foul,4.0,2.0,10.0,11.0
646,course,4.0,22.0,39.0,5.0
647,deny,4.0,0.0,4.0,2.0
648,worn,4.0,3.0,9.0,1.0
649,dares,4.0,0.0,1.0,0.0
650,truth,4.0,5.0,36.0,6.0
651,town,4.0,22.0,16.0,0.0
652,youll,4.0,10.0,8.0,3.0
653,lest,4.0,0.0,7.0,4.0
654,sake,4.0,0.0,18.0,0.0
655,door,4.0,68.0,40.0,6.0
656,birth,4.0,1.0,7.0,4.0
657,garden,4.0,22.0,4.0,1.0
658,ran,4.0,13.0,23.0,0.0
